Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bkgdID
Valve	GO:0006670	sphingosine metabolic process	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Acer3	1	Abca2/Asah1/Gba/Plpp1/Sphk1/Sptlc2/Plpp2/Asah2/Sphk2/Acer3/Naaa/Plpp3/Sgpp1/Sptssa/Acer2/Sptlc1
Valve	GO:0045019	negative regulation of nitric oxide biosynthetic process	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Cav1	1	Acp5/Gla/Tspo/Cav1/Cd34/Epor/Khsrp/Ptgis/Sirpa/Rock2/Dynll1/Wdr35/Gimap3/Zc3h12a/Gimap5/Atp2b4
Valve	GO:0046514	ceramide catabolic process	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Acer3	1	Gla/Asah1/Galc/Gba/Gm2a/Hexa/Hexb/Naga/Neu1/Prkcd/Psap/Neu3/Asah2/Acer3/Gba2/Acer2
Valve	GO:0060004	reflex	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Pmp22	1	Pcdh15/Cacna1a/Gja1/Glra1/Hpn/Nr4a3/Pmp22/Satb1/Slc1a1/Cdh23/Aldh1a3/Afg3l2/Usp46/Foxp2/Npnt/Auts2
Valve	GO:0072520	seminiferous tubule development	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Spata2	1	Ar/Adgrg1/Smad4/Ubb/Atrx/Adrm1/Tbc1d20/Wdr48/Ing2/Spink2/Rnase10/Jmjd1c/Kif18a/Brip1/Scaper/Spata2
Valve	GO:1901017	negative regulation of potassium ion transmembrane transporter activity	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Cav1	1	Agrn/Ank3/Fxyd2/Cav1/Kcnab1/Kcnq1/Pten/Sumo1/Stk39/Kcne3/Kcne4/Crbn/Snx27/Nedd4l/Oxsr1/Kcnrg
Valve	GO:1904406	negative regulation of nitric oxide metabolic process	1/30	16/13441	0.03513928862477256	0.25784857511123	0.2215455536942666	Cav1	1	Acp5/Gla/Tspo/Cav1/Cd34/Epor/Khsrp/Ptgis/Sirpa/Rock2/Dynll1/Wdr35/Gimap3/Zc3h12a/Gimap5/Atp2b4
Valve	GO:0008016	regulation of heart contraction	2/30	133/13441	0.0352884554377869	0.25784857511123	0.2215455536942666	Thra/Cav1	2	Ada/Adm/Adra1b/Adra1d/Adrb1/Adrb2/Agrn/Agt/Atp1a1/Atp1b1/Atp2a2/Atp5j/Cacna1c/Cacna1e/Cacna1g/Cacna2d1/Cacnb2/Calm1/Calm2/Calm3/Cav1/Chrm3/Cxadr/Dlg1/Dmpk/Dmd/Dsc2/Dsg2/Edn1/Ednra/Ednrb/Epas1/Fgf13/Ccn2/Fkbp1b/Gaa/Gch1/Gja1/Gja5/Gjc1/Glp1r/Hbegf/Hey2/Hrc/Il2/Irx3/Jak2/Jup/Kcnh2/Kcnj2/Kcnq1/Smad7/Mdm2/Mdm4/Mef2a/Myl4/Nos2/Nos3/P2rx4/Pde4b/Pik3r1/Prkca/Pln/Rgs2/Rgs4/S100a1/Scn1b/Scn5a/Sema3a/Slc1a1/Slc4a3/Slc8a1/Slc9a1/Snta1/Sp4/Srebf1/Stc1/Abcc9/Tgfb2/Thra/Thrb/Tnni3/Tnnt2/Tpm1/Sumo1/Pebp1/Smtn/Apln/Glrx3/Bin1/Tmem38b/Avpr1a/Irx5/Npff/Fxyd1/Ehd3/Kcne3/Rangrf/Kcne4/Cacna1h/Popdc2/Pkp2/Trpm4/Ace2/Nos1ap/Tmem161b/Tmem38a/Hopx/Tmem65/Rbfox2/Sirt1/Atp1a2/Akap9/Ankrd39/Sri/Ank2/Grk2/Kcnn2/Nup155/Flna/Hdac4/Adm2/Zmpste24/Zc3h12a/Nppa/Scn3b/Pde4d/Pde5a/Chrm2/Spx/Gpd1l/Atp2b4/Gsk3a
Valve	GO:0034101	erythrocyte homeostasis	2/30	133/13441	0.0352884554377869	0.25784857511123	0.2215455536942666	Thra/Klf13	2	Acvr1b/Acvr2a/Add1/Alas1/Ampd3/Slc25a5/Atpif1/Axin1/B2m/Bcl6/Bmp4/Zfp36l1/Casp3/Cd24a/Cdk6/Cebpg/Dnase2a/Epas1/Epb42/Dmtn/Ercc2/Sfxn1/Fech/G6pdx/Gata2/Gata3/Gpi1/Hba-a1/Hcls1/Heph/Hif1a/Hmox1/Hoxa5/Hoxb6/Prmt1/Hspa1b/Hspa9/Id2/Inpp5d/Jak2/Jak3/Kcnq1/Kit/Klf1/Klf2/Mafb/Ldb1/Lmo2/Sh2b3/Zbtb7a/Lyar/Lyn/Smad5/Cited2/Nfe2l1/Slc11a2/Prdx1/Pknox1/Plcb1/Med1/Prkdc/Ptpn2/Rb1/Rps14/Rps17/Rps19/Rps24/Rps6/Ncor1/Spi1/Smarca4/Sox6/Sp1/Sp3/Srf/Stat1/Stat3/Stat5a/Stat5b/Tal1/Tcea1/Tcf3/Tgfbr3/Thra/Vegfa/Zfp36/Zfpm1/Ikzf1/Ets1/Axl/Mapk14/Klf13/Tmod3/Mfhas1/Abcb10/Adar/Foxo3/Maea/Ireb2/Tmem14c/Uba5/Fam210b/Ufl1/Kmt2e/P4htm/Ncapg2/Gas2l1/Cdk5rap3/Rbfox2/Hmgb2/Smap1/Kdm1a/Bap1/Nckap1l/Exoc6/Jmjd6/Hba-a2/Hspa1a/Slc25a38/Trim58/Kat7/Rcor1/Ankrd54/Brd1/Senp1/Adgrf5/Dyrk3/Flvcr1/Ptbp3/Setd1a/L3mbtl3/Arid4a/Isg15
Valve	GO:0002837	regulation of immune response to tumor cell	1/30	17/13441	0.03729540194628156	0.25784857511123	0.2215455536942666	Mr1	1	Ahr/Cd24a/Il4i1/Mr1/Hmgb1/Hspd1/Xcl1/Nectin2/Cd40lg/Ceacam1/Pvr/Crtam/Gsdme/Cd274/Ulbp1/Fbxo38/Cd226
Valve	GO:0010310	regulation of hydrogen peroxide metabolic process	1/30	17/13441	0.03729540194628156	0.25784857511123	0.2215455536942666	Duoxa2	1	Cycs/Fyn/Insr/Mmp3/Mt3/Nnt/Ptger4/Sod2/Stat3/Prdx2/Zfp13/Duoxa2/Pink1/Ctns/Mpv17l/Mfn2/Duoxa1
Valve	GO:0032570	response to progesterone	1/30	17/13441	0.03729540194628156	0.25784857511123	0.2215455536942666	Cav1	1	Cav1/Cbr1/Acod1/Mbp/Ncoa1/Ncoa2/Ptger2/Src/Tgfb1/Tgfb2/Tgfb3/Ube3a/Nr1h3/Wbp2/Yap1/Abhd2/Trerf1
Valve	GO:0034138	toll-like receptor 3 signaling pathway	1/30	17/13441	0.03729540194628156	0.25784857511123	0.2215455536942666	Cav1	1	Cav1/Cd86/F2rl1/Flot1/Lgals9/Ptpn22/Tnfaip3/Unc93b1/Ubqln1/Peli1/Wdfy1/Rftn1/Oas1c/Tirap/Colec12/Tlr3/Tnip2
Valve	GO:0042403	thyroid hormone metabolic process	1/30	17/13441	0.03729540194628156	0.25784857511123	0.2215455536942666	Duoxa2	1	Crym/Ctsb/Ctsk/Ctsl/Gata3/Hpn/Med1/Reln/Slc16a2/Cpq/Slco1c1/Duoxa2/Slco4a1/Slc5a5/Duoxa1/Duox2/Gcnt4
Valve	GO:0050665	hydrogen peroxide biosynthetic process	1/30	17/13441	0.03729540194628156	0.25784857511123	0.2215455536942666	Duoxa2	1	Acox1/Cyba/Cybb/Cycs/Cyp1a1/Fyn/Ncf1/Sod1/Sod2/Stat3/Zfp13/Duoxa2/Ctns/Mpv17l/Mfn2/Duoxa1/Duox2
Valve	GO:0009267	cellular response to starvation	2/30	138/13441	0.03774315973592499	0.25784857511123	0.2215455536942666	Gabarapl1/Hnrnpl	2	Atg5/Atf2/Atf3/Atf4/Bcl2/Cdkn1a/Comt/Dsc2/Eif2s1/Eif2ak3/Fas/Gas6/Gba/Glul/Hspa5/Hnrnpl/Ifi204/Impact/Jun/Lamp2/Nprl3/Sik1/Nfe2l2/Mybbp1a/Pick1/Pik3c2a/Prkd1/Ppara/Prkag1/Eif2ak2/Xpr1/Slc2a1/Srebf1/Srebf2/Suv39h1/Tcf7l2/Tfeb/Klf10/Trp53/Ulk1/Wnt9b/Wnt4/Wrn/Xbp1/Map3k5/Mapk1/Mapk3/Mapk8/Asns/Eif2ak4/Pdk4/Tbl2/Rragd/Wipi1/Rragc/Wdr45/Sh3glb1/Nprl2/Becn1/Higd1a/Foxo1/Foxo3/Gabarap/Mtor/Gabarapl1/Jmy/Angptl4/Pmaip1/Rnase4/Ralb/Dnajc15/Atg4b/Lrrk2/Map1lc3a/Wdr45b/Map1lc3b/Cpeb4/Rraga/Nupr1l/Kptn/Fbxo22/Slc39a4/Seh1l/Nuak2/Atg7/Mtmr3/Rptor/Clec16a/Wipi2/Pik3r4/Ripor1/Sesn3/Slc38a3/Fads1/Mfsd2a/Dapl1/Nuak1/Gas2l1/Gabarapl2/Sirt1/Itfg2/Bmt2/Rrp8/Prkaa1/Lars/Prkaa2/Prkag2/Ehmt2/Sesn1/Usp33/Bmf/Fnip1/Flcn/Zfyve1/Vps41/Ttc5/Stk24/Dap/Pik3c3/Ifi207/Szt2/Zc3h12a/Sesn2/Gcn1/Tnrc6a/Sik2/Pik3c2b/Nim1k/Mios/Wdr24/Depdc5/Wdr59/Rnf152/Cadps2/Brsk1/Fcor/Atg14/Ifi206
Valve	GO:0034349	glial cell apoptotic process	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Pmp22	1	Casp3/Cdk5/Dll1/Gas6/Igf1/Prkca/Prkcd/Prkch/Prkci/Pmp22/Rb1/Ccl2/Traf2/Trp53/Mapk8/Akap12/Trem2/Tnfrsf21
Valve	GO:0046519	sphingoid metabolic process	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Acer3	1	Abca2/Asah1/Gba/Plpp1/Sphk1/Sptlc2/Plpp2/Asah2/Sphk2/Acer3/Naaa/Plpp3/Degs2/Kdsr/Sgpp1/Sptssa/Acer2/Sptlc1
Valve	GO:0051354	negative regulation of oxidoreductase activity	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Cav1	1	Gla/Aoc3/Arg2/Cav1/Cnr1/Eng/Gfi1/Gstp1/Mt3/Nfkb1/Prkn/Prdx5/Gsk3b/Nosip/Oxa1l/Tmlhe/Etfbkmt/Atp2b4
Valve	GO:0071359	cellular response to dsRNA	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Cav1	1	Cav1/Dhx9/Flot1/Nfkb1/Npm1/P2rx7/Pqbp1/Ralb/Riok3/Zcchc3/Mul1/Ifih1/Zc3hav1/Tlr3/Pde12/Cgas/Mavs/Ddx58
Valve	GO:0098901	regulation of cardiac muscle cell action potential	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Cav1	1	Atp2a2/Cacna1c/Cav1/Cxadr/Dlg1/Dsc2/Dsg2/Fgf13/Gja5/Jup/Bin1/Rangrf/Pkp2/Trpm4/Tmem161b/Akap9/Camk2d/Ank2
Valve	GO:1903428	positive regulation of reactive oxygen species biosynthetic process	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Duoxa2	1	Rab27a/Cd36/Clcn3/Cyba/Lcn2/Mmp8/Sod2/Tlr4/Zfp13/Slc5a3/Foxo3/Park7/Duoxa2/Ogt/Mfn2/Hdac4/Duoxa1/Plcg2
Valve	GO:1904292	regulation of ERAD pathway	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Cav1	1	Cav1/Bcap31/Usp25/Sgta/Ubqln2/Ubqln1/Usp14/Herpud1/Aqp11/Usp19/Usp13/Svip/Rnft1/Rnf185/Tmem259/Bag6/Ubxn1/Tmem67
Valve	GO:1904385	cellular response to angiotensin	1/30	18/13441	0.03944685739485221	0.25784857511123	0.2215455536942666	Cav1	1	Agt/Agtr1a/Agtrap/Camk2a/Car2/Cav1/Hsf1/Nfe2l2/Nfkb1/Prkcd/Rac1/Rela/Rock1/Rock2/Src/Slc26a6/Ahcyl1/Rap1gds1
Valve	GO:0001659	temperature homeostasis	2/30	144/13441	0.04077345858126796	0.25784857511123	0.2215455536942666	Thra/Cav1	2	Acadl/Acadvl/Ache/Adipoq/Acvr2b/Adam17/Adrb1/Adrb2/Adrb3/Alpl/Fabp4/Apc/Arntl/Atf4/Cav1/Cd36/Cebpb/Cidea/Cxcr4/Ccr2/Ccr5/Cnr1/Cpt2/Ddit3/Dync1h1/Ednrb/Egr1/Epas1/Acsl1/Fh1/Foxc2/Lpin1/G0s2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Gpx1/Grb10/Hadh/Hdac3/Hsf1/Id1/Igf1r/Il15/Il18/Il1b/Il4ra/Irf4/Jak2/Fabp5/Lama4/Lcn2/Lepr/Mfap2/Notch1/Npr3/Sqstm1/Pctp/Pemt/Per2/Pparg/Ppargc1a/Prkab1/Ptgs2/Rb1/Rbpj/Rheb/Scd1/Ccl5/Stat3/Stat6/Stk11/Thra/Tle3/Tlr4/Tnf/Tnfrsf11a/Tnfsf11/Ucp1/Ucp2/Nr1h3/Nr1h2/Vegfa/Trpv2/Zbtb7b/Adamts5/Gadd45g/Fto/Map2k6/Slc27a1/Ip6k1/Apln/Sirt6/Pdgfc/Ghrl/Ptges/Abhd6/Acot13/Oma1/Gatm/Dock7/Decr1/Adipor2/Prdm16/Pgam5/Adipor1/Ehmt1/Gimap3/Zfp423/Kdm1a/Ces1d/Kdm3a/Arrdc3/Lgr4/Prkab2/Ogt/Elovl6/Mfn2/Ppargc1b/Tfe3/Hoxc10/Appl2/Flcn/Dhrs7b/Kdm6b/Nr1d1/Plcl2/Plcl1/Slc25a44/Nrd1/Plac8/Cnot3/Alms1/Lnpep/Napepld/Abat/Gimap5/Zfp516/Acot11/Nova2/Nova1/Fcor
Valve	GO:0032970	regulation of actin filament-based process	3/30	346/13441	0.04111235551115001	0.25784857511123	0.2215455536942666	Mtpn/Taok2/Cav1	3	Abl1/Actg1/Acta2/Add1/Adrb1/Avil/Alox15/Apoa1/Arf1/Arf6/Rhoa/Rhob/Rhoc/Rhod/Arhgap6/Arhgdib/Rnd2/Arpc1b/Atp1a1/Atp2a2/Bst1/Cacna1c/Capg/Capn1/Capza1/Capza2/Capzb/Cav1/Cd2ap/Cdc42/Cdk5r1/Celsr1/Cfl1/Cfl2/Coro1a/Cnn2/Crk/Csf1r/Csf3/Ctsl/Cttn/Dapk3/Dbnl/Dlg1/Dsc2/Dsg2/Ect2/S1pr1/Edn1/Efna5/Eln/Dmtn/Epha1/Epha3/Epha5/Eps8/Evl/F2rl1/Fscn1/Fer/Fes/Fgf13/Ccn2/Flii/Fmn1/Mtpn/Gja5/Pdpn/Gpr65/Lpar1/Gpm6b/Grb2/Rhpn1/Hck/Hcls1/Hdac2/Hras/Icam1/Id1/Ilk/Itgb1bp1/Itgb3/Cd47/F11r/Jup/Kcnj2/Stmn1/Lats1/Limk1/Lrp1/Smad3/Smad4/Mdk/Mef2c/Met/Myh9/Myo1c/Myo1f/Nck1/Nck2/Neb/Nf2/Notch2/Nrp1/Ntf3/Ntrk3/Pak1/Pak3/Pam/Pde4b/Pdgfrb/Pecam1/Pfn1/Pfn2/Pick1/Pik3ca/Pik3r1/Pik3r2/Prkcd/Prkce/Prkcq/Pln/Ccl21a/Inpp5k/Prox1/Ptger4/Ptk2b/Twf1/Tmsb10/Tmsb4x/Pxn/Rac1/Rac2/Rdx/Trim27/Rgs4/Rock1/Rock2/S100a10/Scin/Scn5a/Ccl27a/Cx3cl1/Sema5a/Sh3bp1/Sorbs3/Cyfip1/Slit2/Sptan1/Sptb/Sptbn1/Stc1/Swap70/Sdc4/Tek/Tesk1/Tgfb1/Tgfb2/Tgfb3/Tgfbr1/Tjp1/Tmod1/Tnnt2/Tpm1/Sumo1/Vasp/Vil1/Vill/Was/Wdr1/Wnt4/Coro1b/Hax1/Rhof/Twf2/Tlr2/Map3k1/Add3/Hip1r/Stau2/Iqgap1/Pdlim4/Bin1/Nox4/Dlc1/Prkn/Tmod3/Tmod2/Nckap1/Myadm/Arhgef5/Nphs1/Fxyd1/Plek/Rhog/Ccl24/Dbn1/Tmeff2/Arpc3/Dstn/Naa80/Arpc1a/Cdc42ep4/Mlst8/Mtor/Tacstd2/Stap1/Pdxp/Rangrf/Cacna1h/Shank3/Cdc42ep5/Mkks/Gmfb/Gmfg/Tsc1/Lima1/Rgcc/Snx9/Pycard/Bag4/Pkp2/Arpc5/Arpc4/Cgnl1/Ppm1f/Trpm4/Carmil1/Washc1/Rhobtb1/Esam/Bst2/Arap1/Arpin/Arhgap17/Cotl1/Arhgef10l/Abracl/Wasl/C9orf72/Rhobtb3/Arhgap18/Actr3/Arpc5l/Rnd3/Specc1l/Rhoh/Mphosph8/Phpt1/Akap13/Ttc8/Clasp2/Clasp1/Arpc2/Cyfip2/Arfip2/Limch1/Ankrd23/Rictor/Kank3/Wasf1/Jam3/Lmod1/Pard3/Vangl2/Fzd10/Atp1a2/Arfip1/Akap9/Brk1/Plekhg2/Arhgef18/Bbs4/Synpo/Cdc42ep2/Cdc42ep1/Nckap1l/Kank1/Baiap2/Ccdc88a/Sri/Ank2/Braf/Shroom2/Synpo2/Kirrel/Mfn2/Rac3/Flna/Bcas3/Arhgdia/Fchsd2/Phldb2/Mtss1/Ap1ar/Arfgef1/Mylk3/Plekhh2/Arhgef19/Arhgap44/Taok1/Rasa1/Fermt2/Washc5/Rapgef3/Rnd1/Pak2/Svil/Gsn/Gba2/Abitram/Asap3/Ssh1/Arhgap35/Ppfia1/Arhgef10/Fhod1/Carmil2/Cdk10/Kank2/Coro2b/Alms1/Ssh2/Pde4d/Kank4/Wasf2/Ssh3/Wasf3/Rhobtb2/Cdc42ep3/Sh3pxd2b/Fam107a/Carmil3/Arhgap28/Fchsd1/Frmd6/Abi2/Dixdc1/Taok2/Pfn4/Whamm/Arhgef15/Iqgap2/Gm14137/Tmsb15b1/Tmsb15b2
Valve	GO:0034312	diol biosynthetic process	1/30	19/13441	0.041593664686676024	0.25784857511123	0.2215455536942666	Acer3	1	Abca2/Asah1/Pcbd1/Dhfr/Ephx1/Gba/Gch1/Pts/Sphk1/Spr/Sptlc2/Asah2/Sphk2/Acer3/Pcbd2/Sptssa/Qdpr/Acer2/Sptlc1
Valve	GO:1901380	negative regulation of potassium ion transmembrane transport	1/30	19/13441	0.041593664686676024	0.25784857511123	0.2215455536942666	Cav1	1	Agrn/Ank3/Fxyd2/Cav1/Kcnab1/Kcnh2/Kcnq1/Pten/Rgs4/Sumo1/Bin1/Stk39/Kcne3/Kcne4/Crbn/Snx27/Nedd4l/Oxsr1/Kcnrg
Valve	GO:0198738	cell-cell signaling by wnt	3/30	349/13441	0.042007099733840106	0.25784857511123	0.2215455536942666	Mbd2/Thra/Cav1	3	Abl1/Abl2/Macf1/Apc/Xiap/Apoe/App/Arntl/Atp6v0c/Axin1/Axin2/Bcl7b/Bmp2/Btrc/Aspm/Ctnnb1/Ctnnd1/Cav1/Ccnd1/Ccne1/Cd44/Cdh2/Celsr1/Cmah/Col1a1/Cpe/Csnk2a1/Csnk2a2/Csnk2b/Dab2/Dapk3/Ddb1/Ddit3/Ddx3x/Dkk1/Dvl1/Dvl2/Dvl3/Eda/Edn1/Ednra/Ednrb/Egf/Egr1/Emd/Mark2/Epm2a/Ext1/Lgr5/Fgfr2/Fgfr3/Foxl1/Frat1/Fzd1/Fzd3/Fzd4/Fzd5/Fzd6/Fzd7/Fzd8/Fzd9/Gata3/Gli1/Gli3/Gnaq/Gpc3/Gpc4/Grk5/Grb10/Tle5/Gsc/Hdac2/Hhex/Hic1/Ilk/Invs/Itga3/Jrk/Mdfic/Klf4/Kpna1/Lats1/Ldb1/Lef1/Lrp1/Lrp5/Lrp6/Smad3/Mbd2/Mdfi/Mdk/Mgat3/Mitf/Usp34/Myc/Nfkb1/Nlk/Nog/Notch1/Nxn/Cdk14/Pkd1/Pkd2/Ppm1a/Ppm1b/Psen1/Pten/Rac1/Rbpj/Rps12/Ruvbl2/Ryk/Sfrp2/Sema5a/Sfrp1/Sfrp4/Siah2/Snai2/Smarca4/Sox13/Sox17/Sox4/Sox7/Sox9/Spin1/Src/Stk11/Sdc1/Tcf7/Tcf7l1/Tcf7l2/Tert/Tgfb1/Tgfb1i1/Thra/Tiam1/Tle1/Tle2/Tle3/Tle4/Tnfaip3/Tnks/Tpbg/Ctr9/Tsc2/Ube2b/Kdm6a/Uty/Wnt9b/Wnt2/Wnt4/Wnt5a/Wnt5b/Wnt6/Yap1/Amfr/Apc2/Grem1/Pin1/Tlr2/Wif1/Zeb2/Grk6/Mapk14/Cul3/Ror1/Ror2/Slc9a3r1/Brd7/G3bp1/Csnk1e/Peg12/Limd1/Ndrg2/Fbxw4/Lats2/Dkk3/Prkn/Reck/Porcn/Celsr2/Snx3/Paf1/Otud5/Ift20/Stk3/Arl6/Amotl2/Foxo1/Foxo3/Ruvbl1/Rnf138/Pfdn5/Gsk3b/Zbtb33/Dkk2/Fzd2/Stk4/Pias4/Med12/Dact1/Gprc5b/Vps35/Sostdc1/Sdhaf2/Tmem9/Wdr61/Lrrk2/Rnf220/Gskip/Tmem88/Ctnnbip1/Nrarp/Ctdnep1/Frmd8/Calcoco1/Chd8/Plpp3/Mesd/Ccny/Bambi/Rnf146/Wls/Ift80/Ccdc88c/Cthrc1/Trpm4/Ubac2/Pygo2/Plekha4/Dab2ip/Mllt3/Fuz/Csnk1g3/Draxin/Atp6ap2/Ubr5/Lrrfip2/Ptk7/Mad2l2/Sulf2/Zbed3/Pygo1/Amer1/2210016L21Rik/Rspo3/Nfatc4/Hbp1/Ttc21b/Cby1/Nphp3/Cyld/Tnks2/Sost/Lmbr1l/Usp47/Wnk2/Amotl1/Senp2/Rtf1/Tax1bp3/Gid8/Bcl9/Fam53b/Adgra2/Bcl9l/Wwox/Tbl1xr1/Bicc1/Kremen1/Usp8/Csnk1a1/Vangl2/Fzd10/Nkd1/Wwtr1/Tmem64/Csnk1g2/Fbxw11/Csnk1d/Ptpn23/Prkaa1/Prickle1/Kank1/Lgr4/Rapgef1/Prkaa2/Prdm15/Tle6/Ankrd6/Rac3/Rbms3/Daam1/Frat2/Scyl2/Cdc73/Csnk1g1/Wnt9a/Nle1/Fermt2/Shisa2/Ccar2/Alpk2/Lzts2/Mark1/Ccnyl1/Lrp4/Tmem131l/Pbxip1/Nppa/Vgll4/Wnk1/Caprin2/Ppm1n/Lrrk1/Leo1/Ppp2r3a/Rspo2/Sulf1/Klhl12/Cpz/Tsku/Disc1/Nphp4/Strn/Jade1/Vcp/Rab5a/Cxxc4/Lypd6/Mcc/Shisa3/Dixdc1/Zfp703/Zranb1/Shisa6/Mks1/Tmem237/Znrf3/Otulin/Hdac1/Apcdd1/Gsk3a/Tmem170b/Dact3/Tnik/Trabd2b/Rnf213/Tpbgl
Valve	GO:0051090	regulation of DNA-binding transcription factor activity	3/30	350/13441	0.042307557955911165	0.25784857511123	0.2215455536942666	Mtpn/Thra/Cav1	3	Adam8/Ager/Akt1/Anxa3/Anxa4/Prdx3/App/Ar/Atf2/Phb2/Bcl10/Bcl3/Bdnf/Bmp2/Camk2a/Capn3/Cat/Ctnnb1/Cav1/Cd36/Cebpg/Cflar/Chuk/Clock/Clu/Creb3/Crebbp/Csf3/Cyp1b1/Ddit3/Dhx9/Dvl2/E2f1/Eda/Edn1/Epha5/Esr1/Ezh2/Faf1/Fcgr2b/Fer/Foxs1/Flot1/Flot2/Fosl1/Fzd1/Fzd4/Fzd6/Gas6/Mtpn/Gfi1/Gli1/Gli3/Cmklr1/Hck/Hcls1/Hdac2/Hdac3/Hdac5/Hes1/Foxj1/Hipk2/Hmox1/Prmt2/Hsf1/Hspa1b/Icam1/Id1/Id2/Id3/Ifrd1/Igf1r/Ikbkb/Ikbkg/Il18/Il18rap/Il1b/Irak1/Il1rap/Il6/Acod1/Itch/Itgb2/Jak2/Jup/Kit/Klf4/Kras/Arhgef2/Zbtb7a/Lrp5/Lrp6/Lrp8/Lrrfip1/Smad7/Men1/Pias2/Cd200/Sik1/Commd1/Myd88/Ncoa3/Ndn/Nfkbia/Nfkbib/Nfkbil1/Ngf/Npm1/Ntrk1/Ddr2/Pbx1/Pim1/Prkcb/Prkch/Prkci/Prkd1/Prkcq/Prkcz/Pkd1/Pkd2/Pparg/Ppargc1a/Ppp2cb/Ppp3ca/Eif2ak2/Prnp/Prox1/Ptch1/Pten/Ptgis/Pthlh/Ptma/Pura/Rb1/Rela/Reln/Trim27/Ripk1/Rlim/Rnf2/Trim30a/Cx3cl1/Spi1/Sfrp4/Smarca4/Smarcb1/Sp100/Sphk1/Spop/Srf/Trim21/Stat3/Bhlhe40/Tacc3/Tbx6/Tcf7l2/Tcf3/Prdx2/Tgfb1/Tgfbr3/Thra/Tlr4/Tnf/Tnfaip3/Tnfrsf11a/Cd40/Tnfsf11/Cd40lg/Traf1/Traf2/Traf3/Traf5/Traf6/Tfrc/Twist1/Tnfrsf4/Sumo1/Vegfa/Wfs1/Wnt2/Wnt5a/Trim26/Zic2/Grem1/Map2k5/Mid2/Cib1/Sigirr/Sufu/Tlr2/Rbck1/Mapk1/Mapk3/Psma6/Ror1/Cops5/Rps3/Eif2ak4/Siva1/Keap1/Tax1bp1/Psmd10/Arhgef5/Ccdc22/Adgrg3/Hes6/Paxip1/Heyl/Pex14/Stk3/Nupr1/Chp1/Ikbke/Ripk3/Fzd2/Park7/Terf2ip/Jmy/Rnf25/Pias4/Carm1/Erbin/Sav1/Commd6/Rgcc/Taf12/Rwdd1/Trim13/Rnf220/Pycard/Wwp2/Rpl11/Ctnnbip1/Mtdh/Peli1/Nts/Ufl1/Trim62/Rnf41/Plpp3/Mturn/Lamtor5/Trim37/Pink1/Rhebl1/Tmigd3/Zfp932/Dab2ip/Trim32/Cactin/Crtc3/Lrrfip2/Arid5b/Tradd/Map3k13/Mad2l2/Rps6ka5/Ankrd42/Irak3/Nfam1/Cyld/Crtc2/Trim14/Trappc9/Trim12a/Ddrgk1/Adgrf1/Cdk5rap3/Glis2/Dnaja3/Trim8/Sirt1/Ube2n/Trim6/Trim34a/Hmgn3/Commd7/Kdm1a/Prkd2/Trim68/Ticam1/Brms1/Nod1/Cth/Slco3a1/Irak2/Sri/Arrb1/Erc1/Egln1/Tirap/Tlr3/Rtkn2/Ppargc1b/Flna/Ripk2/Hspa1a/Hdac4/Taf3/Trim30d/Trim41/Fancd2/Trib1/Kdm5a/Nlrp3/Arrb2/Dhx33/Trim25/Trib2/Dap/Abra/Lrrc14/Ppp2r5b/Pprc1/Mavs/Ddx58/Tut4/Zc3h12a/Cytl1/Bud31/Crebzf/Plcg2/Malt1/Carf/Nfkbid/Trim30b/Kat6a/Zc4h2/Eda2r/Usp7/Nod2/Ppia/Rnf31/Nlrc3/Stk36/Map3k10/Mbtps2/Trim12c/Nwd1/Smo/Med13/Ep300/E130311K13Rik/Nlrp12/Crtc1/Otulin/Nlrc5/Triml2/Trim5/Parp10
